Time;NumberOfCreaturesAlive;NumberOfSpeciesAlive;NumberOfCreaturesBorn;NumberOfCreaturesDeath;Entropia;Hostilidad entorno
1;3;3;3;0;1;1
2552;4;3;4;0;1,333333333;0,25
2702;5;3;5;0;1,666666667;0,2
3352;6;4;6;0;1,5;0,166666667
3852;7;4;7;0;1,75;0,142857143
4052;8;4;8;0;2;0,125
4402;9;4;9;0;2,25;0,111111111
4502;6;4;9;3;1,5;-0,5
4853;7;4;10;3;1,75;0,142857143
6153;8;4;11;3;2;0,125
6704;9;5;12;3;1,8;0,111111111
6807;10;5;13;3;2;0,1
6855;11;5;14;3;2,2;0,090909091
6905;12;5;15;3;2,4;0,083333333
6953;13;5;16;3;2,6;0,076923077
6955;14;5;17;3;2,8;0,071428571
7053;14;5;18;4;2,8;0
7054;15;5;19;4;3;0,066666667
7203;14;5;19;5;2,8;-0,071428571
7853;13;4;19;6;3,25;-0,076923077
8353;12;3;19;7;4;-0,083333333
8354;13;3;20;7;4,333333333;0,076923077
8355;14;3;21;7;4,666666667;0,071428571
8541;13;3;21;8;4,333333333;-0,076923077
8653;14;3;22;8;4,666666667;0,071428571
8903;13;3;22;9;4,333333333;-0,076923077
9354;12;3;22;10;4;-0,083333333
9409;13;3;23;10;4,333333333;0,076923077
9410;14;3;24;10;4,666666667;0,071428571
9461;15;3;25;10;5;0,066666667
9604;16;4;26;10;4;0,0625
10654;15;4;26;11;3,75;-0,066666667
11205;14;4;26;12;3,5;-0,071428571
11296;13;3;26;13;4,333333333;-0,076923077
11356;12;3;26;14;4;-0,083333333
11406;11;3;26;15;3,666666667;-0,090909091
11454;10;3;26;16;3,333333333;-0,1
11456;9;3;26;17;3;-0,111111111
11543;8;3;26;18;2,666666667;-0,125
11554;7;3;26;19;2,333333333;-0,142857143
12254;8;3;27;19;2,666666667;0,125
12855;7;3;27;20;2,333333333;-0,142857143
12856;6;3;27;21;2;-0,166666667
13154;5;3;27;22;1,666666667;-0,2
13898;4;3;27;23;1,333333333;-0,25
13899;3;3;27;24;1;-0,333333333
13950;2;2;27;25;1;-0,5
14105;1;1;27;26;1;-1
14855;2;1;28;26;2;0,5
16205;3;2;29;26;1,5;0,333333333
16755;2;2;29;27;1;-0,5
18406;3;2;30;27;1,5;0,333333333
19356;2;2;30;28;1;-0,5
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
;;;;;#¡DIV/0!;#¡DIV/0!
